"uuid","city","state","country","zipcode"
"87a29617-c358-46f1-892a-c5a52a145350","Paris","France","France","75000"
"da0a5854-005e-4504-9901-219067ee70f7","Paris","France","France","75001"
"89081a36-cdbb-494b-a687-8539eac71c44","Paris","France","France","75002"
"5f23cbf2-10c9-4685-a0da-99756cb6bd95","Paris","France","France","75003"
"1cd0b481-409b-454f-ac1b-76f86b12d113","Paris","France","France","75004"
"87e936ee-6c46-40af-be0d-a5f611f7ce01","Paris","France","France","75005"
"700d78fd-fc5e-4e3d-974e-c50d39d39d14","Paris","France","France","75006"
"dfbfe977-51ed-46c0-8854-227e643b07fc","Paris","France","France","75007"
"b1aa3483-3c23-46c1-8b7e-f35e2eaec463","Paris","France","France","75008"
"3456a75b-08be-484e-bdd8-80dfc1f03ba1","Paris","France","France","75009"
"0917aa59-3c9c-424c-a3e0-971af29edc31","Paris","France","France","75010"
"1ce53935-8d87-4fbd-8dd7-a7f1f73c3a78","Paris","France","France","75011"
"6a7a936d-c9de-4d68-b3fb-14897da8907d","Paris","France","France","75012"
"18854205-ef7d-45fe-bc08-9f0c882f30ae","Paris","France","France","75013"
"737b7bbd-9c89-47d4-b162-59934a9b7df8","Paris","France","France","75014"
"a966a1b1-0c96-4e1e-bb53-5a9953277054","Paris","France","France","75015"
"1f69cbd3-1d5b-490e-9c79-2ca7a29efee8","Paris","France","France","75016"
"8f92234d-ed21-4846-8c17-79a70dec101e","Paris","France","France","75017"
"33fc6980-8163-4814-a65f-3d547e965510","Paris","France","France","75018"
"795dbb5f-9de6-419f-91c2-95b81ea731ca","Paris","France","France","75019"
"27f066a7-7398-478b-bfc4-e5ea3840d4b8","Paris","France","France","75020"
"ee7836f1-73bb-4d9c-a985-a3d94ab4c275","Paris","France","France","75116"
"512724f0-b9a0-4ce2-af57-08780ca92ccf","Paris","France","France","75680"
